zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60422,1.6611,1.8665,2.7234,1.9503,3.271,6.2911,2.4553,5.1034,5.6132,5.9482,9.8026,6.1442
60423,5.834,9.5281,7.95,2.2498,7.0088,4.0201,1.3639,12.2357,5.232,5.5805,12.824,8.2156
60424,15.065,24.7751,24.3696,0.9259,2.324,2.3226,17.1049,26.7204,24.1919,9.5782,37.9983,27.0584
60425,3.2887,2.598,3.2923,1.2154,6.0391,4.825,1.3055,3.5061,2.5301,5.001,8.1313,7.4226
60430,1.1427,1.4541,1.0782,2.9288,4.9661,6.7007,1.1945,5.3743,5.403,5.8188,8.0761,5.1326
60431,2.3788,3.3015,2.8276,4.255,6.6484,4.6772,1.0224,3.2275,2.3648,5.0129,12.6222,2.3187
60432,4.2045,4.77,3.814,2.5119,1.9375,6.4522,0.4304,5.3128,2.4379,1.9921,9.5422,6.2212
60433,4.0071,4.9911,1.112,1.5841,3.6741,7.3591,0.8805,5.5842,2.0874,0.9923,11.9552,6.743
60435,0.5886,1.2403,1.3106,1.4667,2.6764,5.6298,0.6335,1.2775,1.7984,1.1588,10.0302,1.6876
60436,2.6312,2.4776,2.6664,2.2314,4.3572,3.3587,2.1621,2.7981,3.3493,1.6573,13.4527,3.865
60437,15.3383,18.4806,18.3913,1.3945,11.7176,1.8671,15.8071,32.5484,32.101,12.8331,43.8931,33.0347
60438,2.042,2.0748,2.0395,2.1664,6.452,6.5482,1.8117,5.6236,2.4284,4.0836,7.0369,7.8983
60439,1.4881,7.0874,1.5789,1.6194,10.2111,2.7883,0.4785,6.1721,4.402,3.0673,3.0708,2.7964
60440,1.1384,5.0447,3.8687,4.1123,10.6473,2.8075,0.7559,1.2877,1.7723,1.7937,1.3219,1.4204
60441,3.9603,6.1779,5.6893,1.69,3.545,3.2508,2.4046,3.3421,3.6711,2.4072,6.2232,3.2645
60442,8.3829,12.765,7.3464,0.4106,10.6974,2.4219,5.5638,13.279,8.5395,9.0851,17.9278,14.4556
60443,0.8457,4.6222,6.4557,1.6342,2.3711,5.5045,1.4416,7.4818,3.7796,4.3364,13.464,6.5099
60445,2.1067,4.1387,4.1401,2.1504,6.6476,5.2746,1.6568,5.9532,4.7236,0.6365,5.7829,1.5642
60446,3.8966,7.3215,5.4736,0.9247,6.0792,0.6517,1.7141,0.7814,1.7003,1.9449,4.0413,3.5357
60447,3.4362,9.8797,9.267,2.5166,6.6602,4.189,0.7496,7.1456,6.8043,2.7173,18.9567,9.1558
60448,3.7107,10.6304,3.6942,1.398,9.5808,0.9633,2.3311,12.0367,5.3322,5.1642,8.0966,6.6415
60450,0.4622,18.711,18.0627,2.1241,4.5412,2.1219,6.2352,17.0724,16.7335,2.7617,28.7959,18.3459
60452,1.029,4.9542,4.9377,2.0165,8.4146,3.1895,0.9365,7.9304,3.2919,1.9044,7.8175,2.0073
60453,1.1332,3.5641,1.3416,1.2,3.0294,3.3049,1.0313,1.1733,2.0989,0.5964,1.6115,1.3133
